subj:01000000                                arts, culture and entertainment                                     Arts, culture, et spectacles       
                              subj:04016012  corporate profile                                                   Portraits d'entreprises            
                              subj:04016013  contract                                                            Contrats                           
                              subj:04016014  defence contract                                                    Contrats militaires                
                              subj:04016015  dividend announcement                                               Dividendes                         
                              subj:04016016  earnings forecast                                                   Prévisions de résultats            
                              subj:04016017  financially distressed company                                      Entreprise en difficulté           
                              subj:04016018  earnings                                                            Résultats                          
                              subj:04016019  financing and stock offering                                        Introduction en bourse             
                              subj:04016020  government contract                                                 Contrats publics                   
                              subj:04016021  global expansion                                                    Développement international        
                              subj:04016022  insider trading                                                     Délits d'initiés                   
                              subj:04016023  joint venture                                                       Entreprise en participation        
                              subj:04016024  leveraged buyout                                                    Rachats d'entreprises              
                              subj:04016025  layoffs and downsizing                                              Restructurations                   
                              subj:04016026  licensing agreement                                                 Accords de licence                 
                              subj:04016027  litigation and regulation                                           Contentieux                        
                              subj:04016028  management change                                                   Modification de l'organigramme     
                              subj:04016029  marketing                                                           Marketing                          
                              subj:04016030  new product                                                         Nouveaux produits                  
                              subj:04016031  patent, copyright and trademark                                     Patentes et brevets                
                              subj:04016032  plant closing                                                       Fermetures d'usines                
                              subj:04016033  plant opening                                                       Ouvertures d'usines                
                              subj:04016034  privatisation                                                       Privatisations                     
                              subj:04016035  proxy filing                                                        Procurations                       
                              subj:04016036  rating                                                              Indice et classement               
                              subj:04016037  research and development                                            Recherche et developpement         
                              subj:04016038  quarterly or semiannual financial statement                         Comptes trimestriels et semestriels
                              subj:04016039  restructuring and recapitalisation                                  Recapitalisation                   
                              subj:04016040  spin-off                                                            Essaimage                          
                              subj:04016041  stock activity                                                      Activité du titre                  
                              subj:04016042  industrial production                                               Production industrielle            
                              subj:04016043  productivity                                                        Productivité                       
                              subj:04016044  inventories                                                         Stocks                             
                              subj:04016045  sales                                                               Ventes                             
                              subj:04016046  corporations                                                        Personne morale                    
                              subj:04016047  shareholders                                                        Actionnaire                        
                              subj:04016048  corporate performance                                               Performance des entreprises        
                              subj:04016049  losses                                                              Pertes                             
                              subj:04016050  credit ratings                                                      Degré de solvabilité               
                              subj:04016051  stock splits                                                        échanges d'actions                 
                              subj:04016052  stock options                                                       Options sur titres                 
                              subj:04016053  recalls (products)                                                  Echanges de marchandises           
                              subj:04016054  globalization                                                       Mondialisation                     
                              subj:04016055  consumers                                                           Consommateurs                      
                              subj:04016056  purchase                                                            Achat                              
                              subj:04016057  new service                                                         Nouvelle activité                  
               subj:04017000                 economy (general)                                                   économie                           
                              subj:04017001  economic policy                                                     Politique économique               
               subj:04018000                 business (general)                                                  Affaires                           
                              subj:04018001  institution                                                         Institution                        
               subj:04019000                 finance (general)                                                   Finances                           
                              subj:04019001  money and monetary policy                                           Politique monétaire                
subj:05000000                                education                                                           Education                          
               subj:05001000                 adult education                                                     Formation permanente               
               subj:05002000                 further education                                                   Enseignement post-scolaire         
               subj:05003000                 parent organisation                                                 Parents d'élèves                   
               subj:05004000                 preschool                                                           Préscolaire                        
               subj:05005000                 school                                                              écoles, collèges, lycées           
                              subj:05005001  elementary schools                                                  école primaire                     
                              subj:05005002  middle schools                                                      Collège                            
                              subj:05005003  high schools                                                        Lycées                             
               subj:05006000                 teachers union                                                      Syndicats d'enseignants            
               subj:05007000                 university                                                          Université                         
               subj:05008000                 upbringing                                                          éducation en général               
               subj:05009000                 entrance examination                                                Examen ou concours d'entrée        
               subj:05010000                 teaching and learning                                               Pédagogie                          
                              subj:05010001  students                                                            étudiants                          
                              subj:05010002  teachers                                                            Enseignants                        
                              subj:05010003  curriculum                                                          Programmes d'étude                 
                              subj:05010004  test/examination                                                    Examen                             
               subj:05011000                 religious education                                                 Education religieuse               
                              subj:05011001  parochial school                                                    Ecole catholique                   
                              subj:05011002  seminary                                                            Séminaire                          
                              subj:05011003  yeshiva                                                             Yeshiva                            
                              subj:05011004  madrasa                                                             Ecole coranique                    
subj:06000000                                environmental issue                                                 Environnement                      
               subj:06001000                 renewable energy                                                    énergies alternatives              
               subj:06002000                 conservation                                                        Protection de la nature            
                              subj:06002001  endangered species                                                  Espèce menacée                     
                              subj:06002002  ecosystem                                                           Ecosystème                         
               subj:06003000                 energy saving                                                       économies d'énergie                
               subj:06004000                 environmental politics                                              Politique de l'environnement       
               subj:06005000                 environmental pollution                                             Pollution de l'environnement       
                              subj:06005001  air pollution                                                       Pollution de l'air                 
                              subj:06005002  water pollution                                                     Pollution de l'eau                 
               subj:06006000                 natural resources                                                   Ressources naturelles              
                              subj:06006001  land resources                                                      Réserve naturelle                  
                              subj:06006002  parks                                                               Parcs naturels                     
                              subj:06006003  forests                                                             Forêts                             
                              subj:06006004  wetlands                                                            Marais                             
                              subj:06006005  mountains                                                           Montagnes                          
                              subj:06006006  rivers                                                              Rivières                           
                              subj:06006007  oceans                                                              Océans                             
                              subj:06006008  wildlife                                                            Animaux sauvages                   
                              subj:06006009  energy resources                                                    Energie                            
               subj:06007000                 nature                                                              Nature                             
                              subj:06007001  invasive species                                                    Espèces envahissantes              
               subj:06008000                 population                                                          Population                         
               subj:06009000                 waste                                                               Déchets                            
               subj:06010000                 water                                                               Distribution de l'eau              
               subj:06011000                 global warming                                                      Alerte à la pollution              
               subj:06012000                 hazardous materials                                                 Matières dangereuses               
               subj:06013000                 environmental cleanup                                               Dépollution                        
subj:07000000                                health                                                              Santé                              
               subj:07001000                 disease                                                             Maladies                           
                              subj:07001001  communicable diseases                                               Maladies contagieuses              
                              subj:07001002  virus diseases                                                      Maladie virale                     
                              subj:07001003  AIDS                                                                SIDA                               
                              subj:07001004  cancer                                                              Cancer                             
                              subj:07001005  heart disease                                                       Maladie cardiaque                  
                              subj:07001006  alzheimer's disease                                                 Alzheimer                          
                              subj:07001007  animal diseases                                                     Maladie animale                    
                              subj:07001008  plant diseases                                                      Maladie végétale                   
                              subj:07001009  retrovirus                                                          Retrovirus                         
               subj:07002000                 epidemic and plague                                                 épidémie                           
               subj:07003000                 health treatment                                                    Traitements                        
                              subj:07003001  prescription drugs                                                  Prescription médicale              
                              subj:07003002  dietary supplements                                                 Compléments nutritifs              
                              subj:07003003  diet                                                                Régime                             
                              subj:07003004  medical procedure/test                                              Protocole médical                  
                              subj:07003005  therapy                                                             Thérapie                           
               subj:07004000                 health organisations                                                Organisations de santé             
               subj:07005000                 medical research                                                    Recherche médicale                 
               subj:07006000                 medical staff                                                       Personnel médical                  
                              subj:07006001  primary care physician                                              Médecin généraliste                
                              subj:07006002  health-workers union                                                Syndicats des travailleurs de santé
               subj:07007000                 medicine                                                            Médicaments                        
                              subj:07007001  herbal                                                              Phytothérapie                      
                              subj:07007002  holistic                                                            Médecine holistique                
                              subj:07007003  western                                                             Médecine occidentale               
                              subj:07007004  traditional Chinese                                                 Médecine traditionnelle chinoise   
               subj:07008000                 preventative medicine                                               Médecine préventive                
                              subj:07008001  vaccines                                                            Vaccins                            
               subj:07009000                 injury                                                              Blessures                          
               subj:07010000                 hospital and clinic                                                 Hôpitaux et cliniques              
               subj:07011000                 government health care                                              Santé publique                     
                              subj:07011001  medicare                                                            Medicare                           
                              subj:07011002  medicaid                                                            Medicaid                           
               subj:07012000                 private health care                                                 Assurances médicales               
               subj:07013000                 healthcare policy                                                   Politique de santé                 
                              subj:07013001  food safety                                                         Sûreté alimenatire                 
               subj:07014000                 medical specialisation                                              Spécialisations médicales          
                              subj:07014001  geriatric                                                           Gériatrie                          
                              subj:07014002  pediatrics                                                          Pédiatrie                          
                              subj:07014003  reproduction                                                        Reproduction                       
                              subj:07014004  genetics                                                            Génétique                          
                              subj:07014005  obstetrics/gynecology                                               Gynécologie                        
               subj:07015000                 medical service                                                     Examens médicaux                   
               subj:07016000                 physical fitness                                                    Etat physique                      
               subj:07017000                 illness                                                             Maladie                            
                              subj:07017001  mental illness                                                      Maladie mentale                    
                              subj:07017002  eating disorder                                                     Troubles alimentaires              
                              subj:07017003  obesity                                                             Obésité                            
               subj:07018000                 medical conditions                                                  Etat de santé                      
               subj:07019000                 patient                                                             Patient                            
subj:08000000                                human interest                                                      Gens animaux insolite              
               subj:08001000                 animal                                                              Animaux                            
               subj:08002000                 curiosity                                                           Insolite                           
               subj:08003000                 people                                                              Gens                               
                              subj:08003001  advice                                                              Conseil, recettes                  
                              subj:08003002  celebrity                                                           Célébrités                         
                              subj:08003003  accomplishment                                                      Succès                             
                              subj:08003004  human mishap                                                        Mésaventures                       
                              subj:08003005  fortune-telling                                                     Bonne aventure                     
               subj:08004000                 mystery                                                             ésotérisme                         
               subj:08005000                 society                                                             Mondanités                         
                              subj:08005001  ceremony                                                            Cérémonie                          
                              subj:08005002  death                                                               Mort                               
                              subj:08005003  funeral                                                             Funérailles                        
                              subj:08005004  estate bestowal                                                     Don immobillier                    
                              subj:08005005  memorial                                                            Mémorial                           
               subj:08006000                 award and prize                                                     Prix et récompenses                
                              subj:08006001  record                                                              Record                             
               subj:08007000                 imperial and royal matters                                          Royauté                            
               subj:08008000                 plant                                                               Usine                              
subj:09000000                                labour                                                              Social                             
               subj:09001000                 apprentices                                                         Apprentissage                      
               subj:09002000                 collective contract                                                 Convention collective              
                              subj:09002001  contract issue-wages                                                Accords salariaux                  
                              subj:09002002  contract issue-healthcare                                           Assurance sociale privée           
                              subj:09002003  contract issue-work rules                                           Règlement intérieur d'entreprises  
               subj:09003000                 employment                                                          Emploi                             
                              subj:09003001  labor market                                                        Marché du travail                  
                              subj:09003002  job layoffs                                                         Plan social                        
                              subj:09003003  child labor                                                         Travail des enfants                
                              subj:09003004  occupations                                                         Profession                         
               subj:09004000                 labour dispute                                                      Conditions de travail              
               subj:09005000                 labour legislation                                                  Législation du travail             
               subj:09006000                 retirement                                                          Retraite                           
               subj:09007000                 retraining                                                          Reconversion                       
               subj:09008000                 strike                                                              Grèves                             
               subj:09009000                 unemployment                                                        Chômage                            
               subj:09010000                 unions                                                              Syndicats                          
               subj:09011000                 wage and pension                                                    Salaire brut                       
                              subj:09011001  employee benefits                                                   Allocations sociales               
                              subj:09011002  social security                                                     Cotisations Vieillesse             
               subj:09012000                 work relations                                                      Relations du travail               
               subj:09013000                 health and safety at work                                           Règles de sécurité au travail      
               subj:09014000                 advanced training                                                   Formation continue                 
               subj:09015000                 employer                                                            Employeurs                         
               subj:09016000                 employee                                                            Personnel                          
subj:10000000                                lifestyle and leisure                                               Vie quotidienne et loisirs         
               subj:10001000                 game                                                                Jeux                               
                              subj:10001001  Go                                                                  Jeu de Go                          
                              subj:10001002  chess                                                               échecs                             
                              subj:10001003  bridge                                                              Bridge                             
                              subj:10001004  shogi                                                               Shogi                              
               subj:10002000                 gaming and lottery                                                  Jeux de hasard et loteries         
               subj:10003000                 gastronomy                                                          Gastronomie                        
                              subj:10003001  organic foods                                                       Aliments biologiques               
               subj:10004000                 hobby                                                               Violons d'Ingres                   
                              subj:10004001  DIY                                                                 Loisirs créatifs                   
                              subj:10004002  shopping                                                            Shopping                           
                              subj:10004003  gardening                                                           Jardinage                          
               subj:10005000                 holiday or vacation                                                 Vacances                           
               subj:10006000                 tourism                                                             Tourisme                           
               subj:10007000                 travel and commuting                                                Voyage et transport quotidien      
                              subj:10007001  traffic                                                             Information routière               
               subj:10008000                 club and association                                                Associations et clubs              
               subj:10009000                 lifestyle (house and home)                                          Vie quotidienne                    
               subj:10010000                 leisure (general)                                                   Loisirs                            
               subj:10011000                 public holiday                                                      Jour férié                         
               subj:10012000                 hunting                                                             Chasse                             
               subj:10013000                 fishing                                                             Pêche                              
               subj:10014000                 auto trends                                                         Evolution de l'automobile          
               subj:10015000                 adventure                                                           Aventure                           
               subj:10016000                 beauty                                                              Beauté                             
               subj:10017000                 consumer issue                                                      Consommateurs                      
               subj:10018000                 wedding                                                             Mariage                            
subj:11000000                                politics                                                            Politique                          
               subj:11001000                 defence                                                             Défense                            
                              subj:11001001  veterans affairs                                                    Anciens combattants                
                              subj:11001002  national security                                                   Sécurité nationale                 
                              subj:11001003  security measures                                                   Mesures de sécurité                
                              subj:11001004  armed Forces                                                        Forces armées                      
                              subj:11001005  military equipment                                                  équipement militaire               
                              subj:11001006  firearms                                                            Armes à feu                        
                              subj:11001007  biological and chemical weapons                                     Armes biologiques et chimiques     
                              subj:11001008  missile systems                                                     Systèmes de missiles               
                              subj:11001009  nuclear weapons                                                     Arme nucléaire                     
               subj:11002000                 diplomacy                                                           Diplomatie                         
                              subj:11002001  summit                                                              Sommet                             
                              subj:11002002  international relations                                             Relations internationales          
                              subj:11002003  peace negotiations                                                  Négociations de paix               
                              subj:11002004  alliances                                                           Alliances                          
               subj:11003000                 election                                                            élections                          
                              subj:11003001  political candidates                                                Candidats                          
                              subj:11003002  political campaigns                                                 Campagne électorale                
                              subj:11003003  campaign finance                                                    Financement de campagne            
                              subj:11003004  national elections                                                  Elections nationales               
                              subj:11003005  regional elections                                                  Elections régionales               
                              subj:11003006  local elections                                                     Elections locales                  
                              subj:11003007  voting                                                              Opération de vote                  
                              subj:11003008  poll                                                                Sondage                            
                              subj:11003009  european elections                                                  Elections européennes              
                              subj:11003010  primary                                                             Elections primaires                
               subj:11004000                 espionage and intelligence                                          Espionnage                         
               subj:11005000                 foreign aid                                                         Aide internationale                
                              subj:11005001  economic sanction                                                   Sanction économique                
               subj:11006000                 government                                                          Gouvernement                       
                              subj:11006001  civil and public service                                            Service public                     
                              subj:11006002  safety of citizens                                                  Sécurité publique                  
                              subj:11006003  think tank                                                          Experts                            
                              subj:11006004  national government                                                 Gouvernement national              
                              subj:11006005  executive (government)                                              Pouvoir exécutif                   
                              subj:11006006  heads of state                                                      Chef de l'Etat                     
                              subj:11006007  government departments                                              Ministère                          
                              subj:11006008  public officials                                                    Hauts fonctionnaires               
                              subj:11006009  ministers (government)                                              Ministres                          
                              subj:11006010  public employees                                                    Fonctionnaires                     
                              subj:11006011  privatisation                                                       Privatisation                      
                              subj:11006012  nationalisation                                                     Nationalisation                    
                              subj:11006013  impeachment                                                         Procédure de destitution           
               subj:11007000                 human rights                                                        Droits de l'homme                  
               subj:11008000                 local authority                                                     Institutions locales               
               subj:11009000                 parliament                                                          Parlement                          
                              subj:11009001  upper house                                                         Chambre haute                      
                              subj:11009002  lower house                                                         Chambre basse                      
               subj:11010000                 parties and movements                                               Partis politiques                  
                              subj:11010001  non government organizations (NGO)                                  ONG                                
               subj:11011000                 refugee                                                             Réfugiés                           
               subj:11012000                 regional authority                                                  Institutions régionales            
               subj:11013000                 state budget and tax                                                Budget de l'Etat et impôts         
                              subj:11013001  public finance                                                      Finances publiques                 
               subj:11014000                 treaty and international organisation-DEPRECATED                    Traités et organisations internatio
                              subj:11014001  international relations-DEPRECATED                                  Relations internationales          
                              subj:11014002  peace negotiations-DEPRECATED                                       Négociations de paix               
                              subj:11014003  alliances-DEPRECATED                                                Alliances                          
               subj:11015000                 constitution                                                        Constitution                       
               subj:11016000                 interior policy                                                     Politique Intérieure               
                              subj:11016001  data protection                                                     Confidentialité des données        
                              subj:11016002  housing and urban planning                                          Urbanisme                          
                              subj:11016003  pension and welfare                                                 Assistance sociale                 
                              subj:11016004  personal weapon control                                             Contrôle des armes personnelles    
                              subj:11016005  indigenous people                                                   Autochtones                        
                              subj:11016006  personal data collection                                            Données personnelles               
                              subj:11016007  planning inquiries                                                  Enquête d'utilité publique         
               subj:11017000                 migration                                                           Migrations                         
               subj:11018000                 citizens initiative and recall                                      Initative populaire                
               subj:11019000                 referenda                                                           Référendum                         
               subj:11020000                 nuclear policy                                                      Politique Nucléaire                
